ticker,status,entry_date,exit_date,holding_days,entry_price,exit_price,notional,return_pct,pnl,buy_trade_id,sell_trade_id
WDAY,realized,2026-01-23,2026-03-17,53,189.25999450683594,135.1699981689453,1001.0,-0.28579730480726045,-286.0831021120677,eed74ab2422e,56076576a49d
ORCL,realized,2026-01-06,2026-01-21,15,192.56663513183594,173.2748260498047,1001.0,-0.10018251120617855,-100.28269371738473,9e067775bdf4,fd623b9ceea9
ORCL,realized,2026-01-08,2026-02-12,35,188.49166870117188,155.9353790283203,50001.0,-0.172720045916009,-8636.175015846366,d7799329fa4f,dded731846bc
DT,realized,2026-01-21,2026-02-12,22,39.400001525878906,36.560001373291016,1001.0,-0.07208121935534717,-72.15330057470251,3a25a3b2712f,f269e284230b
DT,realized,2026-01-21,2026-02-23,33,39.400001525878906,33.63999938964844,1001.0,-0.14619294195831833,-146.33913490027666,1a48729c7b07,80e3f4b4df45
CTSH,realized,2026-02-12,2026-03-18,34,65.0381088256836,59.867855072021484,1001.0,-0.07949575790279395,-79.57525366069675,c5720dfa10b3,eb48b99ed603
TDG,realized,2026-01-06,2026-03-21,74,1384.4000244140625,1152.969970703125,1001.0,-0.1671699289436871,-167.33709887263078,5698fb3aa44c,2e7442c04fa2
TMUS,realized,2026-01-12,2026-01-18,6,195.50405883789062,181.7848358154297,15001.0,-0.07017359692688906,-1052.6741275002628,3c5ea269f114,a18260ca4c76
TMUS,realized,2026-01-12,2026-01-21,9,195.50405883789062,181.7353515625,1001.0,-0.07042670805524019,-70.49713476329543,2dafe9768630,585672297dbc
INVH,realized,2026-01-06,2026-01-21,15,27.761310577392578,27.168542861938477,1001.0,-0.021352295807562555,-21.37364810337012,009a6633d7de,5ac756d0dd22
INVH,realized,2026-01-23,2026-03-17,53,26.862279891967773,25.093852996826172,1001.0,-0.06583309020134169,-65.89892329154303,98aed34a3386,f658a7a65925
BLMN,realized,2026-02-26,2026-03-23,25,6.179999828338623,5.590000152587891,15001.0,-0.09546920584775206,-1432.1335569221287,0c429814fffd,afaab4c41887
PINS,realized,2026-02-12,2026-03-18,34,18.540000915527344,18.770000457763672,15001.0,0.01240558418978838,186.09616843101549,b092e52dfd4c,9b8de7fe5595
AMSF,realized,2026-01-26,2026-02-26,31,36.815696716308594,33.211158752441406,15001.0,-0.09790763954958515,-1468.7125008833268,65fc8a97fe00,a90c5a6ed668
AMTM,realized,2026-03-04,2026-03-30,26,31.190000534057617,25.170000076293945,15001.0,-0.19301059168595366,-2895.3518858809907,d7bc7ca53df8,d0d0932dda06
WKC,realized,2026-03-04,2026-03-30,26,24.33980941772461,23.059999465942383,15001.0,-0.05258093561119875,-788.7666151035924,246b13dcde62,cfbc269eb543
MSI,realized,2026-01-11,2026-01-21,10,384.6237487792969,393.9092102050781,15001.0,0.024141674702228003,362.14926220812225,cd82fac52e31,f2f36b304c4f
BANF,realized,2026-03-04,2026-03-30,26,112.43716430664062,107.43000030517578,15001.0,-0.044532997895688806,-668.0395014332278,30704399b9d8,849642a63965
GWRE,realized,2026-01-12,2026-02-12,31,180.92999267578125,125.33999633789062,1001.0,-0.3072458884000814,-307.5531342884815,a7bc2a2beb21,8d38007644dd
