date,daily_notional,daily_pnl_1d,cum_pnl_1d,daily_pnl_3d,cum_pnl_3d,daily_pnl_5d,cum_pnl_5d,daily_pnl_10d,cum_pnl_10d,daily_pnl_20d,cum_pnl_20d,daily_pnl_30d,cum_pnl_30d
2026-01-01,645009.0,7885.182771003873,3020.827203461098,4484.731694083163,-3248.236364613511,12984.993898528139,4130.3566243234145,6154.324459825573,-19942.599627024694,-8398.137242429124,-26248.39858605747,3747.489887345706,-22164.493940244683
2026-01-02,299012.0,-55.52644932349577,2965.3007541376023,3387.2342247191305,138.99786010561957,8354.46762562444,12484.824249947855,4699.2400829317985,-15243.359544092895,3877.294488722652,-22371.104097334817,7165.010230119646,-14999.483710125038
2026-01-04,1001.0,30.294225539181582,2995.594979676784,25.14992726582759,164.14778737144715,-41.15471823414079,12443.669531713715,-60.303001075200804,-15303.662545168096,-64.01838909619886,-22435.122486431017,-44.86999557270255,-15044.35370569774
2026-01-05,1000001.0,-5947.189320272573,-2951.594340595789,-2602.851996757829,-2438.704209386382,-10818.37058895875,1625.2989427549637,14744.362748729278,-559.2997964388178,-2631.95253706622,-25067.075023497237,2079.309248640819,-12965.044457056922
2026-01-06,13949084.0,-85537.1704771188,-88488.76481771459,118465.1147819267,116026.41057254032,214712.84361589482,216338.1425586498,187045.33977955065,186486.03998311184,151891.6145751046,126824.53955160738,400018.80115135893,387053.756694302
2026-01-07,362015.0,7693.956795459023,-80794.80802225557,14272.245923176,130298.65649571632,13723.715170118618,230061.8577287684,21758.40593872634,208244.44592183817,25155.17761117513,151979.7171627825,-1715.6415483595556,385338.1151459425
2026-01-08,936014.0,-16390.643381700793,-97185.45140395637,-25475.630766277558,104823.02572943876,-14658.47306142898,215403.38466733941,-59181.95215619355,149062.4937656446,-22299.72759865558,129679.98956412692,-27022.18862398702,358315.92652195547
2026-01-09,500001.0,-1839.2866524272688,-99024.73805638363,-21687.347874847586,83135.67785459117,-16695.016013031094,198708.36865430832,-18109.840037647966,130952.65372799664,-78139.0577634408,51540.93180068613,-78462.45492359628,279853.4715983592
2026-01-10,750008.0,-482.0274719365625,-99506.76552832019,8389.784322153202,91525.46217674436,9801.960647771964,208510.32930208027,22332.848918083226,153285.50264607987,47673.59420430776,99214.52600499388,65103.65620262906,344957.12780098827
2026-01-11,570012.0,-4469.643433760316,-103976.4089620805,5374.158509686296,96899.62068643066,-4767.846147877556,203742.48315420272,13165.059655539339,166450.5623016192,-17055.946447024635,82158.57955796925,-38265.576713866605,306691.55108712165
2026-01-12,6533102.0,-60333.831188917255,-164310.24015099776,-24652.784503909457,72246.8361825212,-54439.79195681146,149302.69119739125,27531.47391903338,193982.03622065258,441703.52162886417,523862.1011868334,327605.8061906041,634297.3572777258
2026-01-13,101002.0,-441.73927788910083,-164751.97942888687,2483.182968743946,74730.01915126515,1036.882155132734,150339.573352524,3622.272246813053,197604.30846746563,7751.256716792481,531613.3579036259,20808.137707229882,655105.4949849558
