ticker,buy_trade_id,sell_trade_id,buy_date,sell_date,holding_days,buy_amount_min,sell_amount_min,match_status
DDOG,aa838d727533,3aca95332700,2026-01-21,2026-03-18,56.0,1001.0,15001.0,matched
DDOG,1ed3d92e4e3d,7f0f6b551eb6,2026-01-23,2026-03-23,59.0,1001.0,50001.0,matched
AAP,097e17c82013,f202e55242ba,2026-01-26,2026-03-30,63.0,1001.0,1001.0,matched
CDNS,2c284be3e7fc,15bf53d78608,2026-01-21,2026-02-23,33.0,15001.0,1001.0,matched
AZO,2d3b8012ab34,336b738852c4,2026-01-12,2026-01-18,6.0,50001.0,1001.0,matched
TYL,41a0d4c4e6c5,c62dcea9592f,2026-01-01,2026-02-12,42.0,100001.0,1001.0,matched
TYL,8cba4273d436,b645d5465baa,2026-01-06,2026-03-18,71.0,100001.0,15001.0,matched
TEAM,b5b7b7c4f731,362b208315cf,2026-01-02,2026-01-12,10.0,1001.0,15001.0,matched
TEAM,238ed26b6a94,bf5d977d751b,2026-01-12,2026-01-21,9.0,1001.0,1001.0,matched
TEAM,aac8e42e02e3,9acca5d612cb,2026-01-26,2026-02-01,6.0,1001.0,1001.0,matched
TEAM,8ab51a69ac8f,162687855fe8,2026-02-19,2026-03-18,27.0,1001.0,50001.0,matched
FTNT,b80dec81c433,e59b4a194c9c,2025-03-02,2026-01-06,310.0,50001.0,250001.0,matched
FTNT,448bfb64403c,379260db6828,2026-01-23,2026-03-11,47.0,,15001.0,matched
FTNT,72d8ffe08723,f69da4e7bc10,2026-02-19,2026-03-23,32.0,1001.0,15001.0,matched
TTD,e2a7bee7d301,1206f01dbede,2026-01-02,2026-02-19,48.0,1001.0,1001.0,matched
TTD,502846b21711,cde9a84f9d59,2026-01-12,2026-03-26,73.0,1001.0,1001.0,matched
MSTR,c559ea8f0652,ed029b6c3b08,2026-02-12,2026-02-12,0.0,50001.0,1001.0,matched
MSTR,536350a7fbf1,f214938c23e1,2026-02-23,2026-03-18,23.0,1001.0,15001.0,matched
MRSH,cea60d2b5cc1,6cbcd872fc86,2026-02-12,2026-02-12,0.0,100001.0,1001.0,matched
SNEX,467ff90c49a9,e4bb4c822e3c,2026-03-04,2026-03-30,26.0,15001.0,1001.0,matched
DXPE,e078bd28bd8d,7ea677eb3eeb,2026-03-04,2026-03-30,26.0,15001.0,1001.0,matched
UNH,dbce37a53313,0aec2a6782a0,2026-01-12,2026-02-12,31.0,1001.0,1001.0,matched
FISV,1f4d9c20ee33,c1149c2b6814,2026-01-06,2026-02-10,35.0,50001.0,100001.0,matched
CPS,456f957526ea,c1dc93aa9dbe,2026-01-06,2026-03-17,70.0,100001.0,1001.0,matched
CCI,7b1214aed22f,618892f440a4,2026-01-21,2026-03-11,49.0,50001.0,1001.0,matched
BRO,88cdf1cec35e,e356c9dd02ad,2026-02-12,2026-02-23,11.0,15001.0,1001.0,matched
AMT,0d75b463bd2c,c840836ab47c,2026-01-12,2026-01-21,9.0,1001.0,1001.0,matched
AMT,5a0844b9af60,966b998df474,2026-02-12,2026-03-21,37.0,,1001.0,matched
PLTR,2eb04d8c8b31,22c8ecd82023,2026-01-06,2026-01-21,15.0,50001.0,100001.0,matched
PLTR,06f7c1c846a7,e4d3b639aa2f,2026-01-07,2026-01-23,16.0,1001.0,1001.0,matched
PLTR,63d29ff9c63d,b08f02f225b8,2026-01-17,2026-02-03,17.0,1001.0,1001.0,matched
AMZN,45eb9c941d19,1e4c8dc52081,2026-01-06,2026-02-10,35.0,100001.0,5000001.0,matched
AMZN,8215c2dd167b,8f2f1cd8e095,2026-01-09,2026-02-12,34.0,500001.0,1001.0,matched
AMZN,3525c5a22b09,a37842b5c05a,2026-01-19,2026-02-12,24.0,500001.0,250001.0,matched
AMZN,86477b704555,ed7693e6d8dd,2026-01-23,2026-02-23,31.0,100001.0,1001.0,matched
SNPS,c1f4902ae406,bd7a75330d08,2026-01-06,2026-02-19,44.0,50001.0,1001.0,matched
SNPS,6ffde55d103d,6d997137f7e9,2026-02-10,2026-03-18,36.0,1000001.0,15001.0,matched
CAG,27128cfac7bc,52dd12712473,2026-02-11,2026-03-21,38.0,1001.0,1001.0,matched
TSLA,926c8f564ec6,df49720b1868,2025-03-18,2026-01-23,311.0,15001.0,1001.0,matched
WDAY,6d0b313b5f4f,b387cf5cc8d5,2026-01-21,2026-01-21,0.0,100001.0,1001.0,matched
WDAY,eed74ab2422e,56076576a49d,2026-01-23,2026-03-17,53.0,1001.0,1001.0,matched
ORCL,9e067775bdf4,fd623b9ceea9,2026-01-06,2026-01-21,15.0,1000001.0,1001.0,matched
ORCL,d7799329fa4f,dded731846bc,2026-01-08,2026-02-12,35.0,50001.0,100001.0,matched
DT,3a25a3b2712f,f269e284230b,2026-01-21,2026-02-12,22.0,100001.0,1001.0,matched
DT,1a48729c7b07,80e3f4b4df45,2026-01-21,2026-02-23,33.0,1001.0,1001.0,matched
CTSH,c5720dfa10b3,eb48b99ed603,2026-02-12,2026-03-18,34.0,1001.0,15001.0,matched
TDG,5698fb3aa44c,2e7442c04fa2,2026-01-06,2026-03-21,74.0,50001.0,1001.0,matched
TMUS,3c5ea269f114,a18260ca4c76,2026-01-12,2026-01-18,6.0,50001.0,15001.0,matched
TMUS,2dafe9768630,585672297dbc,2026-01-12,2026-01-21,9.0,1001.0,100001.0,matched
INVH,009a6633d7de,5ac756d0dd22,2026-01-06,2026-01-21,15.0,250001.0,1001.0,matched
INVH,98aed34a3386,f658a7a65925,2026-01-23,2026-03-17,53.0,1001.0,250001.0,matched
BLMN,0c429814fffd,afaab4c41887,2026-02-26,2026-03-23,25.0,15001.0,15001.0,matched
PINS,b092e52dfd4c,9b8de7fe5595,2026-02-12,2026-03-18,34.0,15001.0,15001.0,matched
AMSF,65fc8a97fe00,a90c5a6ed668,2026-01-26,2026-02-26,31.0,15001.0,15001.0,matched
AMTM,d7bc7ca53df8,d0d0932dda06,2026-03-04,2026-03-30,26.0,15001.0,15001.0,matched
WKC,246b13dcde62,cfbc269eb543,2026-03-04,2026-03-30,26.0,15001.0,15001.0,matched
MSI,cd82fac52e31,f2f36b304c4f,2026-01-11,2026-01-21,10.0,100001.0,15001.0,matched
BANF,30704399b9d8,849642a63965,2026-03-04,2026-03-30,26.0,15001.0,15001.0,matched
GWRE,a7bc2a2beb21,8d38007644dd,2026-01-12,2026-02-12,31.0,1001.0,1001.0,matched
GWRE,ca0b73be9f64,eac4a6803a75,2026-01-12,2026-02-12,31.0,1001.0,1001.0,matched
PAYC,b1e10ad92229,31c67873844e,2026-02-12,2026-03-18,34.0,50001.0,15001.0,matched
PAYC,5394662e03b5,18d3ffd1ccfc,2026-02-12,2026-03-30,46.0,1001.0,15001.0,matched
PCOR,c15d6d663906,f7308d599302,2026-01-23,2026-02-12,20.0,1001.0,15001.0,matched
EVTC,2a84c8721d7b,bcf9db79b034,2026-02-12,2026-03-30,46.0,15001.0,15001.0,matched
RNG,bed5322ba459,d54fdd49d6a4,2026-02-12,2026-03-30,46.0,15001.0,15001.0,matched
EXE,370d545cc404,92ae711de047,2026-01-11,2026-03-17,65.0,15001.0,15001.0,matched
ALKS,6beba4834a59,d7eded52f3ba,2026-01-26,2026-01-26,0.0,15001.0,15001.0,matched
ALKS,a282d667128e,7062934ce99c,2026-01-26,2026-02-06,11.0,15001.0,15001.0,matched
JPM,5b6836c85ae5,12390a3f0371,2026-01-07,2026-01-12,5.0,1001.0,50001.0,matched
JPM,8e3f56d7530c,e0a8558c88e0,2026-01-11,2026-01-22,11.0,50001.0,15001.0,matched
JPM,7fba53ddd4f2,113b2713eec7,2026-01-17,2026-03-18,60.0,1001.0,15001.0,matched
AUR,a43e3923f37e,58cd672e3791,2026-02-12,2026-03-18,34.0,15001.0,15001.0,matched
WMT,4137ee9697e2,358d57bda8d7,2026-01-11,2026-03-06,54.0,15001.0,15001.0,matched
HSTM,2b7afbd0b35b,ba08eef26218,2026-01-26,2026-01-26,0.0,50001.0,15001.0,matched
SCSC,7570d3db420a,9c4bf8e3a703,2026-03-04,2026-03-30,26.0,15001.0,15001.0,matched
URBN,9fc210daa72b,9bc05c0b7d47,2026-03-04,2026-03-30,26.0,15001.0,15001.0,matched
OTTR,64c393800a34,7d91236ecc3b,2026-02-26,2026-03-30,32.0,15001.0,15001.0,matched
IT,4106573efba6,4182462af37d,2026-01-06,2026-01-21,15.0,100001.0,15001.0,matched
IT,b6f9491fcfc9,7d3c616c2987,2026-01-16,2026-02-12,27.0,100001.0,1001.0,matched
ADSK,ef4b443a8aa4,36bca3341ed9,2026-01-21,2026-01-21,0.0,15001.0,1001.0,matched
ADSK,9688ec01c590,6c5faf9d205e,2026-01-23,2026-02-10,18.0,1001.0,250001.0,matched
ADSK,fd280bea0da9,a854538537ce,2026-02-19,2026-02-23,4.0,1001.0,1001.0,matched
HUM,96484704705b,72e02454c4bd,2026-01-21,2026-02-10,20.0,15001.0,100001.0,matched
LNN,9880cb89c8fe,1948b1156a50,2026-01-26,2026-03-30,63.0,15001.0,15001.0,matched
IOT,00e84778fa28,dffe61d30c1e,2026-01-12,2026-01-23,11.0,1001.0,1001.0,matched
IOT,2feee63cd56f,e03fa0f2b402,2026-01-21,2026-02-03,13.0,1001.0,1001.0,matched
J,8d9ac29d8f80,abd68b8d13eb,2026-01-01,2026-03-17,75.0,100001.0,100001.0,matched
PLAY,73e7889800ca,2783bd8d0eb0,2026-02-26,2026-03-23,25.0,15001.0,15001.0,matched
ICUI,0709fa514c2f,7a76ecff2abc,2026-01-26,2026-02-26,31.0,15001.0,15001.0,matched
SKY,21e94253fcc2,af7467307787,2026-03-04,2026-03-30,26.0,15001.0,15001.0,matched
HD,2a67b36d0636,10df4d7f7c02,2026-01-06,2026-01-10,4.0,,50001.0,matched
HD,9b4d4e3835ff,478c6d1c235e,2026-01-12,2026-03-21,68.0,1001.0,15001.0,matched
EIG,d669ef1c22ee,bdca32ca9d1d,2026-03-04,2026-03-30,26.0,15001.0,15001.0,matched
BANR,56ce3554e286,fb9d65161759,2026-03-04,2026-03-30,26.0,15001.0,15001.0,matched
LRN,b67ba2b471c6,b15490c5b6ec,2026-01-21,2026-02-26,36.0,15001.0,1001.0,matched
LRN,9c5eb690e7d8,e4173c9c457c,2026-03-04,2026-03-30,26.0,15001.0,15001.0,matched
LQDT,47062fbf1e23,a91975bf5f1b,2026-03-04,2026-03-30,26.0,15001.0,15001.0,matched
UCTT,e87a416e94dc,20e977de6f22,2026-03-04,2026-03-30,26.0,15001.0,15001.0,matched
KNSL,77bf06e9c721,5fa2700c3c39,2026-01-21,2026-03-18,56.0,1001.0,15001.0,matched
TFX,0efb3214367e,4f8d67a1f42e,2026-01-28,2026-03-30,61.0,50001.0,15001.0,matched
CAKE,4308694890f2,a82d24b19aca,2026-03-04,2026-03-30,26.0,15001.0,15001.0,matched
CRWD,42309bd069cb,326e6e888df6,2026-01-21,2026-03-26,64.0,50001.0,1001.0,matched
CSGP,0de31bdb5c58,2a2ac5ac5235,2026-01-12,2026-01-12,0.0,50001.0,50001.0,matched
RKLB,afa85b94f989,f89d2fc31b34,2026-01-12,2026-01-12,0.0,15001.0,15001.0,matched
RKLB,041df03102eb,75a5dac4f408,2026-01-21,2026-02-23,33.0,1001.0,1001.0,matched
AMP,29378b715a21,41fcf3ee6935,2026-02-12,2026-03-26,42.0,1001.0,,matched
RYAN,7972a313ffdc,27b1e885af49,2025-03-18,2026-01-23,311.0,15001.0,1001.0,matched
RYAN,fd1910cc7832,f0c976f07f92,2026-01-02,2026-02-03,32.0,1001.0,1001.0,matched
CVLT,2c6fa7f31320,6795fb89313e,2026-02-23,2026-03-26,31.0,1001.0,1001.0,matched
DUOL,92e030830e64,3aa68faeaca6,2026-01-21,2026-03-18,56.0,1001.0,15001.0,matched
DUOL,ec43448b119d,341a48f523a9,2026-02-12,2026-03-26,42.0,15001.0,1001.0,matched
AXON,15ec23cfb5e7,56417d656e78,2026-01-07,2026-02-23,47.0,1001.0,1001.0,matched
AXON,9833e9528ba9,5bbdcb54bc3a,2026-01-17,2026-03-18,60.0,1001.0,50001.0,matched
VEEV,e9a90d2930d7,3c3eb9ac259b,2026-01-12,2026-02-12,31.0,50001.0,15001.0,matched
SW,3f488c28cdc3,0df85c9e7b30,2026-01-23,2026-03-17,53.0,1001.0,1001.0,matched
SW,3f933193d34b,dbefcbcc682e,2026-01-25,2026-03-17,51.0,15001.0,100001.0,matched
SAIL,e8e58ea25fba,759b6de5efcb,2026-02-21,2026-03-18,25.0,1001.0,50001.0,matched
NTNX,187502d98377,f0744ab68e57,2026-01-12,2026-01-21,9.0,1001.0,1001.0,matched
DKNG,db33e0cda816,e5b86ca5c16f,2026-01-21,2026-02-23,33.0,1001.0,1001.0,matched
HRL,93508f165086,7bc8820b085e,2026-01-12,2026-01-18,6.0,15001.0,15001.0,matched
HRL,789a93c59dfb,8b155e26570a,2026-01-23,2026-03-17,53.0,1001.0,1001.0,matched
RBRK,b4f4d1f87c57,86d7bff8ee19,2026-02-12,2026-03-18,34.0,15001.0,15001.0,matched
RBRK,5db61d031bfb,7e7b94aa0aa9,2026-02-23,2026-03-26,31.0,1001.0,1001.0,matched
EFX,ae303e4cf654,8909a1e621d7,2026-01-12,2026-02-23,42.0,50001.0,1001.0,matched
TLN,d8e5ee858b4f,c66d745fb358,2026-01-21,2026-03-26,64.0,1001.0,1001.0,matched
AYI,24f7a86b334d,a8fdbe054de0,2026-01-21,2026-03-17,55.0,1001.0,1001.0,matched
CVNA,5675f728853d,2e50b5e4b685,2026-01-06,2026-03-17,70.0,15001.0,100001.0,matched
SYY,1310aebd3dbf,14b8d0b6f12e,2026-01-08,2026-01-12,4.0,250001.0,50001.0,matched
OTIS,b8dddfeea673,cd292222c521,2026-03-25,2026-03-26,1.0,15001.0,1001.0,matched
PCG$X,270e79fc66f6,b81b42e136d4,2026-01-06,2026-02-11,36.0,50001.0,1001.0,matched
TRMB,b3185fe8b27b,8038733817af,2026-01-12,2026-02-12,31.0,1001.0,1001.0,matched
TRMB,c1c9558f057d,f732708c1ef7,2026-01-21,2026-03-18,56.0,100001.0,100001.0,matched
COIN,ed4875c3d390,6a52d2043739,2026-01-12,2026-03-26,73.0,15001.0,1001.0,matched
ALAB,aced1c4bb822,793b0fcff4ae,2026-01-07,2026-02-12,36.0,1001.0,1001.0,matched
S,c4373c93c19e,80eeccfe958a,2026-01-21,2026-02-23,33.0,1001.0,1001.0,matched
KDP,0f66a94cb5ba,70a13426e338,2026-01-23,2026-03-26,62.0,15001.0,1001.0,matched
APP,75ab4cbcb21b,3613367feeaf,2026-01-06,2026-02-10,35.0,15001.0,500001.0,matched
APP,7ed1b4103c48,49068cfed4a6,2026-01-06,2026-02-19,44.0,15001.0,1001.0,matched
IQV,9d2160ff7e70,ae9423f60d8a,2026-02-10,2026-02-12,2.0,100001.0,1001.0,matched
MDB,4cc1809fa34a,4c6ee1bcc289,2026-02-19,2026-03-18,27.0,1001.0,15001.0,matched
IDXX,cdcde5fdb5e8,286de7c84d22,2026-02-19,2026-03-17,26.0,1001.0,1001.0,matched
FICO,923261a68ae0,d4896baddde2,2026-03-02,2026-03-17,15.0,15001.0,100001.0,matched
FND,af705d66f018,6ea3ba7155d9,2026-03-18,2026-03-26,8.0,50001.0,1001.0,matched
CNC,16589b6f1b7c,59351857e8af,2026-01-12,2026-02-12,31.0,15001.0,15001.0,matched
CNC,748380c3e302,9224e314ec1a,2026-03-18,2026-03-26,8.0,15001.0,1001.0,matched
CNC,7f731eaa682d,ddde8905ad8d,2026-03-18,2026-03-26,8.0,15001.0,1001.0,matched
