ticker,buy_trade_id,sell_trade_id,buy_date,sell_date,holding_days,buy_amount_min,sell_amount_min,match_status
MSFT,5aeffafea152,,2026-03-23,,,15001.0,,open
MSFT,b50032cf8357,,2026-03-25,,,100001.0,,open
MSFT,5bbbff31b0e9,,2026-03-31,,,100001.0,,open
SXC,5211e4b77c1f,,2026-02-26,,,1001.0,,open
C,4da27b9a78dc,98c9ad8eaf72,2026-01-17,2026-03-17,59.0,1001.0,1001.0,matched
C,9f3ea0e036bf,,2026-01-21,,,15001.0,,open
C,5aac261c8144,,2026-03-02,,,15001.0,,open
TROW,,8924fedd37c5,,2026-03-17,,,1001.0,prior_position
VYX,f4a0c9d3ba47,,2026-01-30,,,15001.0,,open
VYX,1570413192cc,,2026-02-26,,,1001.0,,open
VYX,d2b791417125,,2026-03-30,,,15001.0,,open
NAVI,5da5ce37875d,,2026-01-26,,,1001.0,,open
NAVI,a8628619bb28,,2026-02-26,,,15001.0,,open
NAVI,e422b9c7ae05,,2026-03-30,,,15001.0,,open
BRK-B,2f8e5bf2e2b7,80a9c690ce03,2026-01-07,2026-01-21,14.0,1001.0,1001.0,matched
BRK-B,f663360dcc16,25ffca99e1ee,2026-01-17,2026-03-18,60.0,1001.0,50001.0,matched
BRK-B,bb93cd5fb41b,a42882f41416,2026-01-23,2026-03-26,62.0,1001.0,15001.0,matched
BRK-B,590d031110c3,,2026-02-03,,,1001.0,,open
BRK-B,7d05d9e808f2,,2026-02-12,,,100001.0,,open
BRK-B,25fcf8548c29,,2026-02-23,,,15001.0,,open
BRK-B,38e360203333,,2026-02-23,,,15001.0,,open
CHDN,2fb2d6522b55,,2026-02-12,,,1001.0,,open
CHDN,b81fef23fc6d,,2026-02-12,,,1001.0,,open
CHDN,7c1d7dc86ee8,,2026-03-18,,,15001.0,,open
OMC,645d4331f918,f1ef72540b9e,2026-01-07,2026-02-10,34.0,1001.0,500001.0,matched
OMC,f289cd1795f0,627077451eb2,2026-01-12,2026-03-26,73.0,1001.0,1001.0,matched
OMC,34c7aa9d9788,,2026-01-17,,,1001.0,,open
OMC,1fc07853ec97,,2026-01-21,,,1001.0,,open
OMC,67f3f3aea53b,,2026-02-12,,,1001.0,,open
OMC,0293d33b481d,,2026-03-17,,,1001.0,,open
PLNT,,7ae2b4954ead,,2026-03-18,,,1001.0,prior_position
GPI,,4a4fe314e487,,2026-01-26,,,1001.0,prior_position
GPI,,ea4dcc0317d9,,2026-02-28,,,15001.0,prior_position
GPI,0b5657fab14b,,2026-03-30,,,50001.0,,open
AVA,46a45341cec3,3d2037a223b3,2026-03-04,2026-03-30,26.0,15001.0,1001.0,matched
TRUP,,655114556fb2,,2026-01-26,,,1001.0,prior_position
TRUP,d38c30a9622a,,2026-02-26,,,15001.0,,open
SWKS,c2a0a271df2b,1b22c08adfb0,2026-01-01,2026-03-17,75.0,100001.0,100001.0,matched
SWKS,364325e0ff8c,3db36d35fcb6,2026-01-21,2026-03-18,56.0,15001.0,1001.0,matched
SWKS,9c2210772944,,2026-03-02,,,50001.0,,open
SWKS,9d2c048be154,,2026-03-11,,,15001.0,,open
SWKS,feb8655b2627,,2026-03-21,,,1001.0,,open
ERIE,,c5a9266d18f4,,2026-03-18,,,1001.0,prior_position
ERIE,,f463deee0b24,,2026-03-26,,,1001.0,prior_position
CBSH,,48c26b2732c4,,2026-01-12,,,1001.0,prior_position
CBSH,a1e1bbbdef0f,,2026-03-18,,,100001.0,,open
