date,position_cost,position_mtm,n_open_lots,n_tickers,realized_pnl,unrealized_pnl,total_pnl,daily_pnl,cum_pnl
2025-09-02,461008.0,519424.9755420321,8,7,0.0,58416.9755420321,58416.9755420321,-1999.409167025915,58416.9755420321
2025-09-03,461008.0,520830.95687930443,8,7,0.0,59822.956879304475,59822.956879304475,1405.981337272373,59822.956879304475
2025-09-04,461008.0,525995.858053279,8,7,0.0,64987.858053278986,64987.858053278986,5164.901173974511,64987.858053278986
2025-09-05,461008.0,526796.9235805455,8,7,0.0,65788.92358054547,65788.92358054547,801.0655272664808,65788.92358054547
2025-09-08,461008.0,527153.3669020748,8,7,0.0,66145.36690207475,66145.36690207475,356.4433215292811,66145.36690207475
2025-09-09,461008.0,539506.4508785602,8,7,0.0,78498.45087856021,78498.45087856021,12353.08397648546,78498.45087856021
2025-09-10,461008.0,544722.7293548709,8,7,0.0,83714.72935487083,83714.72935487083,5216.278476310617,83714.72935487083
2025-09-11,461008.0,543221.6073004049,8,7,0.0,82213.60730040495,82213.60730040495,-1501.1220544658718,82213.60730040495
2025-09-12,461008.0,546491.3249404563,8,7,0.0,85483.32494045628,85483.32494045628,3269.717640051327,85483.32494045628
2025-09-15,461008.0,569990.8709417193,8,7,0.0,108982.87094171923,108982.87094171923,23499.54600126295,108982.87094171923
2025-09-16,461008.0,576094.0745260175,8,7,0.0,115086.07452601749,115086.07452601749,6103.203584298259,115086.07452601749
2025-09-17,461008.0,555669.3894983568,8,7,0.0,94661.38949835682,94661.38949835682,-20424.68502766067,94661.38949835682
2025-09-18,461008.0,556985.5790619301,8,7,0.0,95977.57906193013,95977.57906193013,1316.189563573309,95977.57906193013
2025-09-19,461008.0,558860.5374623939,8,7,0.0,97852.53746239388,97852.53746239388,1874.9584004637582,97852.53746239388
2025-09-22,461008.0,555147.2930910632,8,7,0.0,94139.29309106323,94139.29309106323,-3713.2443713306566,94139.29309106323
2025-09-23,461008.0,570926.888034511,8,7,0.0,109918.88803451092,109918.88803451092,15779.594943447693,109918.88803451092
2025-09-24,461008.0,569640.375819428,8,7,0.0,108632.37581942798,108632.37581942798,-1286.512215082941,108632.37581942798
2025-09-25,461008.0,553083.2576213551,8,7,0.0,92075.25762135515,92075.25762135515,-16557.11819807283,92075.25762135515
2025-09-26,461008.0,567204.1186727432,8,7,0.0,106196.11867274319,106196.11867274319,14120.861051388041,106196.11867274319
2025-09-29,461008.0,550257.4196269985,8,7,0.0,89249.4196269985,89249.4196269985,-16946.699045744695,89249.4196269985
2025-09-30,461008.0,551119.150695745,8,7,0.0,90111.15069574502,90111.15069574502,861.7310687465215,90111.15069574502
2025-10-01,461008.0,545858.6056703985,8,7,0.0,84850.60567039845,84850.60567039845,-5260.545025346568,84850.60567039845
2025-10-02,461008.0,545932.2227676465,8,7,0.0,84924.22276764654,84924.22276764654,73.61709724809043,84924.22276764654
2025-10-03,461008.0,559002.4902621588,8,7,0.0,97994.4902621588,97994.4902621588,13070.267494512256,97994.4902621588
2025-10-06,461008.0,565058.8413654715,8,7,0.0,104050.8413654714,104050.8413654714,6056.351103312598,104050.8413654714
2025-10-07,461008.0,562826.5638830612,8,7,0.0,101818.56388306114,101818.56388306114,-2232.2774824102526,101818.56388306114
2025-10-08,461008.0,568070.9542228511,8,7,0.0,107062.95422285117,107062.95422285117,5244.3903397900285,107062.95422285117
2025-10-09,461008.0,567686.2497572107,8,7,0.0,106678.24975721062,106678.24975721062,-384.70446564054873,106678.24975721062
2025-10-10,461008.0,542775.8194082258,8,7,0.0,81767.81940822587,81767.81940822587,-24910.43034898475,81767.81940822587
2025-10-13,461008.0,552591.4885671802,8,7,0.0,91583.4885671802,91583.4885671802,9815.669158954333,91583.4885671802
2025-10-14,461008.0,531439.7872816218,8,7,0.0,70431.78728162184,70431.78728162184,-21151.70128555836,70431.78728162184
2025-10-15,461008.0,562479.1088810528,8,7,0.0,101471.10888105277,101471.10888105277,31039.32159943093,101471.10888105277
2025-10-16,461008.0,546920.323490197,8,7,0.0,85912.32349019694,85912.32349019694,-15558.785390855832,85912.32349019694
2025-10-17,461008.0,554234.870555061,8,7,0.0,93226.87055506113,93226.87055506113,7314.547064864193,93226.87055506113
2025-10-20,461008.0,568477.7364950461,8,7,0.0,107469.73649504605,107469.73649504605,14242.865939984913,107469.73649504605
2025-10-21,461008.0,573585.9072570252,8,7,0.0,112577.90725702523,112577.90725702523,5108.170761979185,112577.90725702523
2025-10-22,461008.0,568589.0466510536,8,7,0.0,107581.04665105352,107581.04665105352,-4996.860605971713,107581.04665105352
2025-10-23,461008.0,562064.1242164569,8,7,0.0,101056.12421645685,101056.12421645685,-6524.922434596665,101056.12421645685
